[main] 2021-08-18 13:47:49 INFO  com.lala.Main  - logger succefully configured
[main] 2021-08-18 13:55:11 INFO  com.lala.Menu  - Welecome to the Shopping App
[main] 2021-08-18 13:58:42 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 13:58:42 INFO  com.lala.Menu  - Welecome to the Shopping App
[main] 2021-08-18 13:58:42 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 13:58:42 INFO  com.lala.Menu  - 1. Login As Customer
[main] 2021-08-18 13:58:42 INFO  com.lala.Menu  - 2. Login As Employee
[main] 2021-08-18 13:58:42 INFO  com.lala.Menu  - 3. Register As Customer
[main] 2021-08-18 13:58:42 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 13:59:24 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 13:59:24 INFO  com.lala.Menu  - Welecome to the Shopping App
[main] 2021-08-18 13:59:24 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 13:59:24 INFO  com.lala.Menu  - 1. Login As Customer
[main] 2021-08-18 13:59:24 INFO  com.lala.Menu  - 2. Login As Employee
[main] 2021-08-18 13:59:24 INFO  com.lala.Menu  - 3. Register As Customer
[main] 2021-08-18 13:59:24 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 13:59:24 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 13:59:24 INFO  com.lala.Menu  - Enter Your Choice
[main] 2021-08-18 14:20:16 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 14:20:16 INFO  com.lala.Menu  - Welecome to the Shopping App
[main] 2021-08-18 14:20:16 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 14:20:16 INFO  com.lala.Menu  - 1. Login As Customer
[main] 2021-08-18 14:20:16 INFO  com.lala.Menu  - 2. Login As Employee
[main] 2021-08-18 14:20:16 INFO  com.lala.Menu  - 3. Register As Customer
[main] 2021-08-18 14:20:16 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 14:20:16 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 14:20:16 INFO  com.lala.Menu  - Enter Your Choice
[main] 2021-08-18 14:20:19 INFO  com.lala.Menu  - still in development
[main] 2021-08-18 14:24:08 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 14:24:08 INFO  com.lala.Menu  - Welecome to the Shopping App
[main] 2021-08-18 14:24:08 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 14:24:08 INFO  com.lala.Menu  - 1. Login As Customer
[main] 2021-08-18 14:24:08 INFO  com.lala.Menu  - 2. Login As Employee
[main] 2021-08-18 14:24:08 INFO  com.lala.Menu  - 3. Register As Customer
[main] 2021-08-18 14:24:08 INFO  com.lala.Menu  - 4. Exit
[main] 2021-08-18 14:24:08 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 14:24:08 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 14:24:08 INFO  com.lala.Menu  - Enter Your Choice
[main] 2021-08-18 14:24:14 INFO  com.lala.Menu  - still in development
[main] 2021-08-18 14:24:14 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 14:24:14 INFO  com.lala.Menu  - Welecome to the Shopping App
[main] 2021-08-18 14:24:14 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 14:24:14 INFO  com.lala.Menu  - 1. Login As Customer
[main] 2021-08-18 14:24:14 INFO  com.lala.Menu  - 2. Login As Employee
[main] 2021-08-18 14:24:14 INFO  com.lala.Menu  - 3. Register As Customer
[main] 2021-08-18 14:24:14 INFO  com.lala.Menu  - 4. Exit
[main] 2021-08-18 14:24:14 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 14:24:14 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 14:24:14 INFO  com.lala.Menu  - Enter Your Choice
[main] 2021-08-18 14:24:20 INFO  com.lala.Menu  - still in development
[main] 2021-08-18 14:24:20 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 14:24:20 INFO  com.lala.Menu  - Welecome to the Shopping App
[main] 2021-08-18 14:24:20 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 14:24:20 INFO  com.lala.Menu  - 1. Login As Customer
[main] 2021-08-18 14:24:20 INFO  com.lala.Menu  - 2. Login As Employee
[main] 2021-08-18 14:24:20 INFO  com.lala.Menu  - 3. Register As Customer
[main] 2021-08-18 14:24:20 INFO  com.lala.Menu  - 4. Exit
[main] 2021-08-18 14:24:20 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 14:24:20 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 14:24:20 INFO  com.lala.Menu  - Enter Your Choice
[main] 2021-08-18 14:24:35 INFO  com.lala.Menu  - invalid choice
[main] 2021-08-18 14:27:42 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 14:27:42 INFO  com.lala.Menu  - Welecome to the Shopping App
[main] 2021-08-18 14:27:42 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 14:27:42 INFO  com.lala.Menu  - 1. Login As Customer
[main] 2021-08-18 14:27:42 INFO  com.lala.Menu  - 2. Login As Employee
[main] 2021-08-18 14:27:42 INFO  com.lala.Menu  - 3. Register As Customer
[main] 2021-08-18 14:27:42 INFO  com.lala.Menu  - 4. Exit
[main] 2021-08-18 14:27:42 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 14:27:42 INFO  com.lala.Menu  - -----------------------------
[main] 2021-08-18 14:27:42 INFO  com.lala.Menu  - Enter Your Choice
[main] 2021-08-18 14:27:46 INFO  com.lala.Menu  - Thank You for your valuable Time 
[main] 2021-08-18 14:27:46 INFO  com.lala.Menu  - See you soon....Bye Bye!!!
